class,app,p,pf,qf,vf
1,2,0.061849,0.53504,0.84371,0.077136
1,2,0.061564,0.53289,0.84521,0.076446
1,2,0.048558,0.55994,0.82109,0.11727
1,2,0.053244,0.54659,0.74608,0.19312
1,2,0.061566,0.53354,0.84472,0.077221
1,2,0.063111,0.54436,0.83786,0.078685
1,2,0.063821,0.54499,0.83737,0.078555
1,2,0.063806,0.54498,0.83731,0.078842
1,2,0.063196,0.5405,0.83997,0.078497
1,2,0.063492,0.54255,0.83891,0.078897
1,2,0.06322,0.53994,0.84059,0.07889
1,2,0.063304,0.53984,0.84073,0.07925
1,2,0.0631,0.54067,0.84007,0.078126
1,2,0.0625,0.53677,0.84279,0.078151
1,2,0.062184,0.53356,0.84484,0.07827
1,2,0.061543,0.52937,0.84735,0.078714
1,2,0.052106,0.55025,0.82625,0.11707
1,2,0.062607,0.53938,0.84079,0.078369
1,2,0.062526,0.5373,0.84231,0.076746
1,2,0.06345,0.54576,0.83684,0.078545
1,2,0.063198,0.55012,0.83394,0.079628
1,2,0.063419,0.54526,0.8372,0.080172
1,2,0.063533,0.54597,0.83664,0.081073
1,2,0.063698,0.54488,0.83738,0.07968
1,2,0.063304,0.54316,0.83846,0.079271
1,2,0.062914,0.54101,0.8398,0.079727
1,2,0.062438,0.53775,0.84192,0.079607
1,2,0.062288,0.53624,0.84295,0.079341
1,2,0.061809,0.53309,0.84504,0.079333
1,2,0.061735,0.53319,0.84505,0.078625
1,2,0.063377,0.53743,0.84216,0.079988
1,2,0.062448,0.528,0.84811,0.079008
1,2,0.063705,0.53549,0.84344,0.079373
1,2,0.063762,0.53579,0.84322,0.08002
1,2,0.063618,0.5345,0.84403,0.080669
1,2,0.063717,0.53391,0.84431,0.079606
1,2,0.064072,0.53644,0.84286,0.079493
1,2,0.06384,0.53532,0.84337,0.080157
1,2,0.063366,0.52969,0.84712,0.07944
1,2,0.062915,0.52734,0.84872,0.079097
1,2,0.062515,0.52453,0.85035,0.079399
1,2,0.062424,0.52417,0.85068,0.077665
1,2,0.040019,0.5789,0.80099,0.15633
1,2,0.062504,0.54032,0.84034,0.079998
1,2,0.061993,0.53104,0.84624,0.076714
1,2,0.06331,0.53913,0.84108,0.078397
1,2,0.063668,0.54018,0.84043,0.078374
1,2,0.063421,0.5395,0.84101,0.078864
1,2,0.063097,0.53887,0.84149,0.078774
1,2,0.063098,0.53873,0.84134,0.078517
1,2,0.063209,0.53968,0.84078,0.078971
1,2,0.062773,0.53873,0.84134,0.078187
1,2,0.062195,0.53384,0.84458,0.078393
1,2,0.061638,0.53839,0.84165,0.079097
1,2,0.061077,0.53606,0.84315,0.078171
1,2,0.030111,0.60855,0.76766,0.22002
1,2,0.046669,0.55173,0.66423,0.27947
1,2,0.061805,0.53303,0.84513,0.076408
1,2,0.063541,0.54388,0.83818,0.079871
1,2,0.063809,0.54641,0.83637,0.081605
1,2,0.063943,0.54922,0.83425,0.08421
1,2,0.06433,0.55815,0.82792,0.0822
1,2,0.063941,0.54374,0.83805,0.081672
1,2,0.064665,0.55197,0.83245,0.08537
1,2,0.064142,0.54754,0.83547,0.084813
1,2,0.064636,0.54697,0.83604,0.082879
1,2,0.064259,0.54392,0.83795,0.08198
1,2,0.06434,0.54482,0.83741,0.082605
